"","gwf_cowcode","year","gwf_country","gwf_casename","gwf_startdate","gwf_enddate","gwf_spell","gwf_duration","gwf_fail","gwf_fail_subsregime","gwf_fail_type","gwf_fail_violent","gwf_regimetype","gwf_party","gwf_personal","gwf_military","gwf_monarch","extended_country_name","GWn","cown","in_GW_system"
"1",40,1953,"Cuba","Cuba 52-59",1952-03-10,1959-01-01,7,1,0,0,0,0,"personal",0,1,0,0,"Cuba",40,40,TRUE
"2",40,1954,"Cuba","Cuba 52-59",1952-03-10,1959-01-01,7,2,0,0,0,0,"personal",0,1,0,0,"Cuba",40,40,TRUE
"3",40,1955,"Cuba","Cuba 52-59",1952-03-10,1959-01-01,7,3,0,0,0,0,"personal",0,1,0,0,"Cuba",40,40,TRUE
"4",40,1956,"Cuba","Cuba 52-59",1952-03-10,1959-01-01,7,4,0,0,0,0,"personal",0,1,0,0,"Cuba",40,40,TRUE
"5",40,1957,"Cuba","Cuba 52-59",1952-03-10,1959-01-01,7,5,0,0,0,0,"personal",0,1,0,0,"Cuba",40,40,TRUE
"6",40,1958,"Cuba","Cuba 52-59",1952-03-10,1959-01-01,7,6,0,0,0,0,"personal",0,1,0,0,"Cuba",40,40,TRUE
"7",40,1959,"Cuba","Cuba 52-59",1952-03-10,1959-01-01,7,7,1,2,6,4,"personal",0,1,0,0,"Cuba",40,40,TRUE
"8",40,1960,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,1,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"9",40,1961,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,2,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"10",40,1962,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,3,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"11",40,1963,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,4,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"12",40,1964,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,5,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"13",40,1965,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,6,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"14",40,1966,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,7,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"15",40,1967,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,8,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"16",40,1968,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,9,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"17",40,1969,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,10,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"18",40,1970,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,11,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"19",40,1971,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,12,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"20",40,1972,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,13,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"21",40,1973,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,14,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"22",40,1974,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,15,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"23",40,1975,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,16,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"24",40,1976,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,17,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"25",40,1977,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,18,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"26",40,1978,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,19,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"27",40,1979,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,20,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"28",40,1980,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,21,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"29",40,1981,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,22,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"30",40,1982,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,23,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"31",40,1983,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,24,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"32",40,1984,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,25,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"33",40,1985,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,26,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"34",40,1986,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,27,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"35",40,1987,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,28,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"36",40,1988,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,29,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"37",40,1989,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,30,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"38",40,1990,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,31,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"39",40,1991,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,32,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"40",40,1992,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,33,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"41",40,1993,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,34,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"42",40,1994,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,35,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"43",40,1995,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,36,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
"44",40,1996,"Cuba","Cuba 59-NA",1959-01-01,2010-12-31,51,37,0,0,0,0,"party-personal",1,0,0,0,"Cuba",40,40,TRUE
